Rows,79k,,
Columns114,114,,
Each row is a Facility Inspection,,,
Column Name,Description,API Field Name,Data Type
Violation Detail - 15,Field used to describe the type of violation associated with the enforcement action.,violation15_text,Text
Violation Memo - 15,This field is used for any additional comments about the enforcement action.,violation15_memo,Text
Violation Description - 16,A brief description of the violation.,violation16_description,Text
Violation Points - 16,The amount of points assigned to this violation.,violation16_points,Number
Violation Detail - 16,Field used to describe the type of violation associated with the enforcement action.,violation16_text,Text
Violation Memo - 16,This field is used for any additional comments about the enforcement action.,violation16_memo,Text
Violation Description - 17,A brief description of the violation.,violation17_description,Text
Violation Points - 17,The amount of points assigned to this violation.,violation17_points,Number
Violation Detail - 17,Field used to describe the type of violation associated with the enforcement action.,violation17_text,Text
Violation Memo - 17,This field is used for any additional comments about the enforcement action.,violation17_memo,Text
Violation Description - 18,A brief description of the violation.,violation18_description,Text
Violation Points - 18,The amount of points assigned to this violation.,violation18_points,Number
Violation Detail - 18,Field used to describe the type of violation associated with the enforcement action.,violation18_text,Text
Violation Memo - 18,This field is used for any additional comments about the enforcement action.,violation18_memo,Text
Violation Description - 19,A brief description of the violation.,violation19_description,Text
Violation Points - 19,The amount of points assigned to this violation.,violation19_points,Number
Violation Detail - 19,Field used to describe the type of violation associated with the enforcement action.,violation19_text,Text
Violation Memo - 19,This field is used for any additional comments about the enforcement action.,violation19_memo,Text
Violation Description - 20,A brief description of the violation.,violation20_description,Text
Violation Points - 20,The amount of points assigned to this violation.,violation20_points,Number
Violation Detail - 20,Field used to describe the type of violation associated with the enforcement action.,violation20_text,Text
Violation Memo - 20,This field is used for any additional comments about the enforcement action.,violation20_memo,Text
Violation Description - 21,A brief description of the violation.,violation21_description,Text
Violation Points - 21,The amount of points assigned to this violation.,violation21_points,Number
Violation Detail - 21,Field used to describe the type of violation associated with the enforcement action.,violation21_text,Text
Violation Memo - 21,This field is used for any additional comments about the enforcement action.,violation21_memo,Text
Violation Description - 22,A brief description of the violation.,violation22_description,Text
Violation Points - 22,The amount of points assigned to this violation.,violation22_points,Number
Violation Detail - 22,Field used to describe the type of violation associated with the enforcement action.,violation22_text,Text
Violation Memo - 22,This field is used for any additional comments about the enforcement action.,violation22_memo,Text
Violation Description - 23,A brief description of the violation.,violation23_description,Text
Violation Points - 23,The amount of points assigned to this violation.,violation23_points,Number
Violation Detail - 23,Field used to describe the type of violation associated with the enforcement action.,violation23_text,Text
Violation Memo - 23,This field is used for any additional comments about the enforcement action.,violation23_memo,Text
Violation Description - 24,A brief description of the violation.,violation24_description,Text
Violation Points - 24,The amount of points assigned to this violation.,violation24_points,Number
Violation Detail - 24,Field used to describe the type of violation associated with the enforcement action.,violation24_text,Text
Violation Memo - 24,This field is used for any additional comments about the enforcement action.,violation24_memo,Text
Violation Description - 25,A brief description of the violation.,violation25_description,Text
Violation Points - 25,The amount of points assigned to this violation.,violation25_points,Number
Violation Detail - 25,Field used to describe the type of violation associated with the enforcement action.,violation25_text,Text
Violation Memo - 25,This field is used for any additional comments about the enforcement action.,violation25_memo,Text
Inspection Month,Added column to improve visualization of inspections by month,month,Text
Inspection Year,Added column to improve visualization of inspections for specific fiscal years,inspection_year,Text
Lat Long Location,Denotes a location point on a longitude line (perpendicular to the equator) and latitude line (parallel to the equator),lat_long,Location
